Seed,Theta,Inf,Alpha
2160,1.0,1.05667e+01,9.86336e+01
2161,0.0,1.03859e+01,9.98786e+01
2161,0.5,1.03860e+01,9.93755e+01
2161,1.0,1.03861e+01,9.88774e+01
2162,0.0,1.03469e+01,1.02205e+02
2162,0.5,1.03466e+01,1.01693e+02
2162,1.0,1.03463e+01,1.01186e+02
2163,0.0,1.03624e+01,1.00843e+02
2163,0.5,1.03625e+01,1.00334e+02
2163,1.0,1.03627e+01,9.98291e+01
2164,0.0,1.04604e+01,1.01878e+02
2164,0.5,1.04598e+01,1.01374e+02
2164,1.0,1.04593e+01,1.00876e+02
2165,0.0,1.03727e+01,1.02523e+02
2165,0.5,1.03719e+01,1.02018e+02
2165,1.0,1.03711e+01,1.01517e+02
2166,0.0,1.02746e+01,1.02010e+02
2166,0.5,1.02739e+01,1.01501e+02
2166,1.0,1.02733e+01,1.00997e+02
2167,0.0,1.04628e+01,1.01282e+02
2167,0.5,1.04624e+01,1.00776e+02
2167,1.0,1.04621e+01,1.00275e+02
2168,0.0,1.05850e+01,9.94723e+01
2168,0.5,1.05851e+01,9.89751e+01
2168,1.0,1.05852e+01,9.84828e+01
2169,0.0,1.04970e+01,1.00454e+02
2169,0.5,1.04973e+01,9.99494e+01
2169,1.0,1.04976e+01,9.94495e+01
2170,0.0,1.06206e+01,1.00285e+02
2170,0.5,1.06209e+01,9.97858e+01
2170,1.0,1.06211e+01,9.92920e+01
2171,0.0,1.05160e+01,1.00026e+02
2171,0.5,1.05162e+01,9.95266e+01
2171,1.0,1.05163e+01,9.90317e+01
2172,0.0,1.05151e+01,1.01342e+02
2172,0.5,1.05139e+01,1.00848e+02
2172,1.0,1.05126e+01,1.00357e+02
2173,0.0,1.03144e+01,1.00782e+02
2173,0.5,1.03143e+01,1.00274e+02
2173,1.0,1.03143e+01,9.97716e+01
2174,0.0,1.03325e+01,1.01364e+02
2174,0.5,1.03323e+01,1.00856e+02
2174,1.0,1.03320e+01,1.00353e+02
2175,0.0,1.01696e+01,1.02454e+02
2175,0.5,1.01693e+01,1.01940e+02
2175,1.0,1.01690e+01,1.01430e+02
2176,0.0,1.07537e+01,9.88813e+01
2176,0.5,1.07538e+01,9.83957e+01
2176,1.0,1.07539e+01,9.79150e+01
2177,0.0,1.04082e+01,1.01485e+02
2177,0.5,1.04075e+01,1.00982e+02
2177,1.0,1.04068e+01,1.00485e+02
2178,0.0,1.06622e+01,9.89722e+01
2178,0.5,1.06630e+01,9.84728e+01
2178,1.0,1.06638e+01,9.79784e+01
2179,0.0,1.06362e+01,9.86289e+01
2179,0.5,1.06373e+01,9.81249e+01
2179,1.0,1.06385e+01,9.76259e+01
2180,0.0,1.06134e+01,9.84623e+01
2180,0.5,1.06142e+01,9.79639e+01
2180,1.0,1.06150e+01,9.74705e+01
2181,0.0,1.08755e+01,9.84307e+01
2181,0.5,1.08766e+01,9.79368e+01
2181,1.0,1.08775e+01,9.74479e+01
2182,0.0,1.03708e+01,1.00830e+02
2182,0.5,1.03708e+01,1.00326e+02
2182,1.0,1.03707e+01,9.98265e+01
2183,0.0,1.03322e+01,1.01592e+02
2183,0.5,1.03319e+01,1.01083e+02
2183,1.0,1.03316e+01,1.00579e+02
2184,0.0,1.03365e+01,1.01309e+02
2184,0.5,1.03357e+01,1.00808e+02
2184,1.0,1.03349e+01,1.00311e+02
2185,0.0,1.03539e+01,9.99037e+01
2185,0.5,1.03544e+01,9.93964e+01
2185,1.0,1.03549e+01,9.88941e+01
2186,0.0,1.04600e+01,9.96613e+01
2186,0.5,1.04612e+01,9.91533e+01
2186,1.0,1.04623e+01,9.86505e+01
2187,0.0,1.02666e+01,1.02396e+02
2187,0.5,1.02663e+01,1.01882e+02
2187,1.0,1.02660e+01,1.01374e+02
2188,0.0,1.03130e+01,1.01798e+02
2188,0.5,1.03129e+01,1.01291e+02
2188,1.0,1.03128e+01,1.00788e+02
2189,0.0,1.04290e+01,1.00109e+02
2189,0.5,1.04297e+01,9.96007e+01
2189,1.0,1.04304e+01,9.90973e+01
2190,0.0,1.07151e+01,9.89888e+01
2190,0.5,1.07157e+01,9.84890e+01
2190,1.0,1.07164e+01,9.79942e+01
2191,0.0,1.07295e+01,9.86639e+01
2191,0.5,1.07308e+01,9.81580e+01
2191,1.0,1.07321e+01,9.76572e+01
2192,0.0,1.02339e+01,1.02146e+02
2192,0.5,1.02340e+01,1.01630e+02
2192,1.0,1.02342e+01,1.01118e+02
2193,0.0,1.03824e+01,1.00121e+02
2193,0.5,1.03827e+01,9.96160e+01
2193,1.0,1.03829e+01,9.91159e+01
2194,0.0,1.05185e+01,9.94376e+01
2194,0.5,1.05185e+01,9.89387e+01
2194,1.0,1.05185e+01,9.84449e+01
2195,0.0,1.05984e+01,9.88565e+01
2195,0.5,1.05995e+01,9.83505e+01
2195,1.0,1.06006e+01,9.78496e+01
2196,0.0,1.04466e+01,1.00848e+02
2196,0.5,1.04461e+01,1.00349e+02
2196,1.0,1.04455e+01,9.98561e+01
2197,0.0,1.04570e+01,1.01372e+02
2197,0.5,1.04574e+01,1.00863e+02
2197,1.0,1.04578e+01,1.00358e+02
2198,0.0,1.05312e+01,1.00105e+02
2198,0.5,1.05316e+01,9.96024e+01
2198,1.0,1.05320e+01,9.91049e+01
2199,0.0,1.05041e+01,1.00530e+02
2199,0.5,1.05046e+01,1.00023e+02
2199,1.0,1.05051e+01,9.95204e+01
2200,0.0,1.03332e+01,1.00939e+02
2200,0.5,1.03330e+01,1.00437e+02
2200,1.0,1.03328e+01,9.99400e+01
2201,0.0,1.02911e+01,1.02187e+02
2201,0.5,1.02909e+01,1.01674e+02
2201,1.0,1.02907e+01,1.01166e+02
2202,0.0,1.07853e+01,9.76239e+01
